"","Delta","Theta","Alpha","Beta","LowGamma","HighGamma"
"AA1",1.03732749394008,0.650138854980469,0.726841517857143,0.595255306788853,0.64557238987514,0.0955612318856376
"AE1",1.43675678334338,0.950184923537234,1.39525133498172,1.21315229699967,0.85760498046875,0.031651922997008
"AH0",1.19302704049356,1.02177633129576,1.05795682751158,1.23469778576737,0.916785426109842,0.166237801125964
"AO1",1.70351736886161,0.924466160365513,0.823340933663504,0.62673819405692,0.569806562151228,0.19329354422433
"AW1",0.559252703631366,-0.171424018012153,-0.207474320023148,-0.293379041883681,-0.137622409396701,0.0456099686799226
"AY1",1.28617816501194,0.647567325168186,0.226617601182726,0.0492926703559028,0.0190497504340278,0.093955569797092
"B",0.239740442346644,0.337752730758102,1.16748498987269,1.53078884548611,1.21688009191442,0.142200611255787
"CH",0.349560692196801,0.807602292015439,0.995457967122396,0.950170607793899,0.946096238635835,0.0275426592145647
"D",1.11691376566887,0.343798398971558,0.599773406982422,0.624143958091736,0.32465997338295,0.0798996090888977
"EH1",0.899933299799075,0.460611847625382,0.321883322178632,0.183454140849497,-0.0245466999623967,0.0772063156654095
"ER0",0.695341630415483,0.46703407981179,0.707183837890625,0.417373830621893,0.451688939874822,0.183740095658736
"ER1",0.81150639851888,0.117850065231323,0.117098999023437,-0.0618408203125,-0.03565673828125,-0.0120325724283854
"EY1",0.798824310302734,0.475153836337003,0.566764831542969,0.671874306418679,0.796072179620916,0.0268634449351918
"F",0.785757223765055,0.0267731348673503,0.0862129493838265,-0.0736846923828125,-0.101430756705148,-0.00314823786417643
"G",2.68971761067708,0.930763938210227,0.421287074233546,-0.0363126812559186,-0.109015262488163,0.0604696562795928
"HH",0.501374589635971,0.0512628758207281,0.525782159034242,0.402712558178192,0.428033382334608,-0.0163200218626793
"IH0",0.773277791341146,0.446175130208333,0.122517903645833,-0.0395100911458333,0.0261576334635417,0.1162109375
"IH1",1.20425639905428,0.564615350020559,0.305538579037315,0.2404296875,0.104109151739823,0.0128860473632812
"IY0",1.00033609490646,0.726736169112356,1.05264603464227,1.33206779078433,1.26485543502005,0.124470359400699
"IY1",0.995310804578993,0.647085288718895,0.592056839554398,0.648779748987269,0.699628119998508,0.146539476182726
"JH",0.819447108677455,-0.194590977260045,0.228995186941964,0.0785348074776786,-0.139018739972796,0.133937290736607
"K",0.882351426517262,0.67152068194221,0.602031932157629,0.515513027415556,0.524742463055779,0.0833270690020393
"L",0.695613456099001,0.686652065956429,0.436565791090874,0.317270801491933,0.333225197988014,0.0850931046760246
"M",0.740774455823396,1.31585462469804,0.651245920281661,0.844039916992188,0.363961922494989,0.136007208573191
"N",1.43604731318927,0.946747423422457,0.540172326444375,0.655202730737551,0.660094584178443,0.166122263128107
"NG",-0.0674043543198529,-0.236304788028493,-0.0288265452665441,0.132036994485294,-0.0195671530330882,-0.00791482364430147
"OW0",1.30836050851004,0.424994059971401,-0.0712800707135882,0.296456473214286,0.275362287248884,-0.0189208984375
"OW1",1.39112345377604,0.556644984654018,0.300887516566685,0.125522250220889,-0.0456056140718006,0.0129403613862537
"OY1",0.782546997070312,0.906543731689453,0.715505599975586,0.0990371704101562,-0.134208679199219,-0.148157119750977
"P",1.26424908381636,0.844609086231519,1.20009683921773,0.934918967626428,0.720342164398522,0.120658238728841
"R",1.53600270697411,0.351565813764613,0.714475709073087,0.658785393897523,0.59221971795914,0.0899383774463167
"S",1.41299408172893,0.498321533203125,0.545178707514968,0.695070355852074,0.490276733291483,0.109652421184789
"sil",0.331436959459035,0.318364041301826,0.334020817996095,0.337209298375338,0.39207678291419,0.0683076333078704
"sp",1.03641613153941,0.390250879295906,0.328204310503129,0.307473811639396,0.177295695729181,0.0362038168954917
"T",1.27755962553478,0.507296344212123,0.442776071457636,0.363929893856957,0.189282099405924,0.0808369772774833
"TH",2.87789084694602,0.888959942441998,0.961934869939631,0.98965361624053,0.622724128491951,0.356413292162346
"UW1",0.903236389160156,0.813531875610352,0.87568998336792,0.921740710735321,0.708230972290039,-0.0409829616546631
"V",1.28294923570421,0.527868058946398,0.353114657931858,0.269871181911892,-0.0374741289350722,0.0303220036956999
"W",0.998678056020585,0.54578363327753,0.579476492745536,0.627547612265935,0.441264137389168,0.132416679745629
"Y",0.579576345590445,1.84581580528846,0.594397911658654,0.983716524564303,1.12239896334135,0.201425405649038
"Z",0.724343259711015,0.10650241249486,0.0529294064170436,0.223561768782766,0.0498610907479336,-0.0298976747613204
