"","Delta","Theta","Alpha","Beta","LowGamma","HighGamma"
"AA1",1.04390825544085,2.72456577845982,1.03840964181083,0.192109857286726,0.102321079799107,0.409052576337542
"AE1",0.694730718085106,2.17467644874086,1.2035223778258,0.802072809097615,0.212174273551779,0.191387257677443
"AH0",0.477962038052157,1.05435612516583,0.409695463360481,0.26346156282245,0.168952701976464,0.136889607651429
"AO1",0.61725834437779,1.74117115565709,0.774636404854911,0.512934766496931,0.16769768851144,0.203510393415179
"AW1",-0.120650679976852,-0.34980547869647,-0.360998083043981,-0.0862438060619213,-0.0465726499204282,-0.401187472873264
"AY1",1.56799146864149,0.943258073594835,0.498057471381293,0.426561673482259,0.193456013997396,0.331581115722656
"B",1.93779387297454,2.97806916413484,0.484684696903935,0.154336152253328,0.0795491536458333,0.323312123616536
"CH",0.679108392624628,1.32477842058454,0.673431396484375,0.484722864060175,0.386740548270089,0.351847694033668
"D",1.45650100708008,2.00690621137619,0.62461394071579,0.1611407995224,0.0727403806522489,0.205584473907948
"EH1",0.688452008126796,0.428907898650772,0.292414873495869,0.116734011419888,0.11511239238169,0.240594140414534
"ER0",0.237021012739702,3.77874027598988,0.553979353471236,-0.0463655645197088,0.196106824007901,0.190946752374822
"ER1",0.6142333984375,0.999137369791667,0.498586018880208,0.351287841796875,0.362000528971354,0.29066162109375
"EY1",0.496226917613636,3.5487528402697,0.757404674183239,0.119119817560369,0.142793135209517,0.329022494229403
"F",0.448065212794713,0.812745866321382,0.220319657098679,0.0832884652273995,0.116048722040086,0.0413683936709449
"G",2.86893532492898,2.24096032344934,1.64829323508523,0.599522446141099,0.0565872192382812,0.372244806000681
"HH",-0.0316892583319481,-0.047914002804046,-0.0911771084399934,0.0320405351354721,0.131198639565326,-0.0568263277094415
"IH0",0.789400227864583,0.163663736979167,0.0567642211914062,-0.123470052083333,0.261008707682292,0.267695109049479
"IH1",0.962143867894223,1.75056212575812,0.714555298654657,0.176869061118678,0.160125772576583,0.298986354627107
"IY0",1.47187975833291,1.51922838311446,1.17173144691869,0.580849095394737,0.188564149956954,0.331676081607216
"IY1",0.916869458445796,1.53451741536458,0.638873291015625,0.384815074779369,0.230350070529514,0.285532407407407
"JH",0.0180533272879464,0.0908900669642857,-0.151018415178571,0.0407889229910714,-0.116281236921038,-0.251560756138393
"K",1.45441077737247,1.87411005356733,1.08823619169347,0.344657897949219,0.14894541572122,0.211103551528033
"L",0.494277901845436,0.844661738774548,0.543639300620719,0.510300989020361,0.168955071331704,0.0337308596258294
"M",0.0270036396227385,1.04963145757976,0.105342262669613,-0.0259013928865132,0.109831157483553,0.0140011436060855
"N",0.949474243202595,0.784481838496044,0.352267910735776,0.248027184996942,0.147374451762498,0.241360173080907
"NG",0.956857120289522,3.04935948988971,1.46810913085938,0.295963062959559,0.173228544347426,0.120653937844669
"OW0",0.496791294642857,2.20405033656529,1.20210811070033,0.482462201799665,0.0354210989815848,0.428689139229911
"OW1",0.136815570649647,0.609724498930432,0.949505283719017,0.850584120977493,0.249951498849051,-0.0229928152901786
"OY1",0.0253372192382812,1.0999755859375,1.13587951660156,0.841018676757812,0.201530456542969,0.434539794921875
"P",0.529999107442876,1.16749621975806,0.711439713355034,0.287785358326409,0.167219428605931,0.241502003003192
"R",1.15779972076416,1.24095096993954,0.584020005895736,0.22229054887244,0.181175475424909,0.169998534182285
"S",1.1384069674483,1.07861886960324,0.770304465962348,0.50247071168133,0.206830087109147,0.117340854395216
"sil",0.160329147469844,0.219818880373828,0.180635696828621,0.0936466207320086,0.101854692712874,0.0676824486306808
"sp",0.791382741859884,1.04534777858227,0.556075000114878,0.296429351675664,0.143778616096158,0.149475972198792
"T",0.936836424328032,1.944082092955,0.892936724708194,0.366617184593564,0.220280056908017,0.309330949329195
"TH",0.883182410037879,2.92232444069602,1.79428193063447,0.909823793353456,0.203921231356534,0.49964072487571
"UW1",0.415033578872681,0.121243476867676,0.167183876037598,0.297362327575684,0.182250738143921,0.0206284523010254
"V",0.14803245332506,0.829125722249349,0.35148811340332,0.135175440046522,0.167172405454848,0.232426537407769
"W",0.105589851500496,0.310243334089007,0.150452628968254,0.289600675068204,0.0701465909443204,0.0690412067231678
"Y",0.474227905273438,0.388815072866587,0.386615459735577,0.524282602163462,0.101820725661058,0.392705477201022
"Z",0.623899178755911,1.17044316342002,0.682422276547081,0.256616612484581,0.0279670815718801,0.0552598463861566
