"","Delta","Theta","Alpha","Beta","LowGamma","HighGamma"
"AA1",0.704336711338588,0.700119120734079,0.287484441484724,0.587003878184727,0.271173749651228,0.184115137372698
"AE1",0.177675937084441,0.721458272731051,0.0867374501329787,0.151638436824717,0.255333636669402,0.30931862364424
"AH0",0.758967225656569,0.502376922271537,0.217310815487268,0.443333367881535,0.250670187128415,0.271755770317414
"AO1",0.69444580078125,0.697584751674107,0.389481680733817,0.359796060834612,0.151479666573661,0.154979079110282
"AW1",0.167909975405093,0.46375415943287,0.0534845987955729,0.317159723352503,0.149958857783565,0.0672946506076389
"AY1",0.896472507052951,0.368914604187012,0.28845469156901,1.015076107449,0.14300282796224,0.224021911621094
"B",0.944864908854167,0.483530680338542,0.141313906069155,0.469298751265914,0.153439557110822,0.115559895833333
"CH",1.02568998790923,0.54692622593471,0.462663014729818,0.790323575337728,0.225983392624628,0.131238301595052
"D",0.799548625946045,0.836451709270477,0.358373820781708,0.341723620891571,0.151487357914448,0.174833327531815
"EH1",0.543431249158136,0.684235671470905,0.365791715424636,0.578951079269935,0.179321128061448,0.132359866438241
"ER0",0.479286887428977,0.76859560879794,0.406304619529031,0.371853915127841,0.252944252707741,0.172510840676048
"ER1",1.01239420572917,0.238299560546875,0.555318705240885,0.666542561848958,0.0985310872395833,0.19571533203125
"EY1",0.397633075714111,-0.121070861816406,0.0896960171786222,0.0812950134277344,0.128742564808239,0.122169147838246
"F",0.537602197556269,0.258518241700672,0.230558804103306,0.602770124162946,0.183586665562221,0.0913125900995164
"G",0.364229144472064,0.242306795987216,0.211146499171402,0.352849324544271,0.148941040039062,0.201397520123106
"HH",0.0187887638173205,0.848180567964594,0.231556993849734,0.299749496135306,0.228385681801654,0.0827699214854139
"IH0",1.25050659179687,0.479755655924479,0.291558837890625,0.607169596354167,0.20291748046875,0.402632649739583
"IH1",0.763396574321546,0.785498317919279,0.362162469562731,0.474805008737664,0.0546578859028063,0.129934210526316
"IY0",0.637290954589844,1.19850269116853,0.421308486085189,0.510821894595498,0.16048853020919,0.2275188847592
"IY1",1.0028776663321,0.462010108100043,0.226084122834382,0.336176102249711,0.210603378437184,0.186410607231988
"JH",0.292618070329939,0.250932965959821,0.274383544921875,0.251255580357143,0.00748770577566964,0.109368460518973
"K",0.567307416130515,0.769495431114646,0.384279138901654,0.26439801384421,0.219641489141128,0.144031307276557
"L",0.425508584061714,0.473763034768301,0.264039967158069,0.331089868937453,0.111680383551611,0.107933488610673
"M",0.393155850862202,0.71870261744449,0.415060746042352,0.911938315943668,0.162726151315789,0.0803648296155428
"N",0.604261957033716,0.492752229324495,0.185374274398341,0.470905072761304,0.218079574180372,0.277273864457102
"NG",1.451244578642,0.808640423943015,0.39958101160386,0.443233714384191,-0.0212797277113971,0.333341710707721
"OW0",1.13544573102679,-0.199460710797991,-0.15867178780692,-0.0242876325334821,-0.0627528599330357,0.115902491978237
"OW1",0.532980419340588,0.331556411016555,-0.140591394333612,-0.240222385951451,-0.0325673421223958,0.0672231855846587
"OY1",1.46157073974609,-0.00148391723632812,0.522968292236328,0.945720672607422,0.123711585998535,0.0746307373046875
"P",0.965876876666982,1.14807166335403,0.459641420713035,0.471022677677934,0.154960591305969,0.165611349126344
"R",0.869384359806142,1.00387975002857,0.421273292379176,0.41632567821665,0.172954782526544,0.188409298024279
"S",0.881983716911245,0.474249066593491,0.279432920652015,0.343010269592856,0.153936386108398,0.143680055564809
"sil",0.0827323750876562,0.169471445001758,0.102963925431215,0.0404765813135794,0.053663927342247,0.0901519755948767
"sp",0.696178466294798,0.590850068775881,0.228421209196164,0.338179769775216,0.157222766903508,0.14155577231886
"T",0.830352633340018,0.626977030436198,0.228732753935314,0.420429992675781,0.22631474449521,0.130329767862956
"TH",0.312374230587121,0.940412579160748,0.0961257472182765,0.655463016394413,0.276248931884766,0.170009844230883
"UW1",0.471927642822266,0.898691177368164,0.257575035095215,0.313253402709961,0.351889133453369,0.242261409759521
"V",0.23724619547526,0.369741651746962,-0.0248163806067573,0.301179567972819,0.125546985202365,0.172392341825697
"W",0.240825592525422,0.320908077179439,0.0856681702628968,0.498208424401662,0.133581100948273,0.15522084917341
"Y",-0.351834810697115,0.638455904447115,0.133564875676082,0.541494516225962,0.203528771033654,0.150090144230769
"Z",0.478147704977738,0.571350177965666,0.196105946992573,0.337459323280736,0.143307816354852,0.0908794202302632
