"","Delta","Theta","Alpha","Beta","LowGamma","HighGamma"
"AA1",0.715656552995954,1.03649166652134,0.459372384207589,0.258589063371931,0.236728531973703,0.221670661653791
"AE1",0.399624114340924,0.221261633203385,0.191642598902926,0.201616652468418,0.205849505485372,0.0458294482941323
"AH0",0.959238880085495,0.907537520306665,0.348400379876671,1.01304524049819,0.925250911112851,0.615367601502616
"AO1",0.494593048095703,0.645264543805804,0.230453491210938,0.378775460379464,0.231160191127232,0.0602957589285714
"AW1",1.56634747540509,0.645435474537037,0.534324363425926,0.456730877911603,0.339937563295718,0.153143988715278
"AY1",0.517788781060113,0.942009184095595,0.337326897515191,0.524207486046685,0.275724834865994,0.137617111206055
"B",-0.125756157769097,0.494321469907407,0.0386519255461516,0.0282637984664352,0.35075604474103,0.0453734221281829
"CH",1.02056103660947,1.48385910760789,0.727454049246652,0.387509300595238,0.406801496233259,0.15112559000651
"D",2.02250480651855,1.0576114654541,0.325455516576767,0.300683915615082,0.215766191482544,0.228488236665726
"EH1",1.8012502385282,1.32828083257566,0.537225569801769,0.399330320029423,0.238009047234195,0.168949149120813
"ER0",1.85110265558416,0.821978482333097,0.76341386274858,0.513703389601274,0.530509255149148,0.200383186340332
"ER1",0.252860514322917,-0.280281575520833,-0.146532185872396,-0.0938802083333333,0.147615559895833,0.116551462809245
"EY1",1.18461504849521,1.21323186700994,0.747504841197621,0.329940102317116,0.236415342851119,0.0658333518288352
"F",0.73323495047433,0.408318474179222,0.280034746442522,0.273989632016137,0.235449541182745,0.0832410766964867
"G",0.591214266690341,1.00498835245768,0.719961455374053,0.584345499674479,0.279030539772727,0.273401578267415
"HH",0.570738041654546,0.623236189497278,0.327847744556183,0.275478119545795,0.353902613863032,0.14478545493268
"IH0",0.302220662434896,-0.0951456705729167,-0.0545572916666667,0.140789794921875,-0.11761474609375,0.00989583333333333
"IH1",1.38068827578896,1.35446929931641,0.761400082236842,1.19500154194079,0.876685549083509,0.219525728727642
"IY0",1.01722496434262,0.272025158530787,0.235137236745734,0.317943623191432,0.225577906558388,0.0864916224228708
"IY1",0.528299967447917,0.810997143498173,0.358796197396738,0.31963676876492,0.503366823549624,0.15577726010923
"JH",0.407334463936942,0.226645333426339,0.185973031180246,0.16267830984933,0.0391017368861607,0.0342911311558315
"K",0.461843041812672,0.337943806367762,0.184399773092831,0.246394129360423,0.156492121079389,0.0732006746179917
"L",2.15829697700396,0.746072534012468,0.447787245658979,0.266515261506381,0.231508960462596,0.175164523190015
"M",0.0849374469957854,0.90376763594778,0.362785339355469,0.656984028063322,0.273007844623766,0.148462144952071
"N",0.723272044249255,1.01900393553454,0.372538094568734,0.345924666433623,0.45434096365264,0.0910236185247248
"NG",1.56992025936351,1.34381103515625,0.83020580516142,0.516702090992647,-0.138423246495864,0.322800580193015
"OW0",-0.0804792131696429,1.69811575753348,-0.0793631417410714,0.0464215959821429,0.12358147757394,-0.0331640243530273
"OW1",6.13758050827753,2.44941511608305,1.59670321146647,0.702226457141695,0.312835330054874,0.311417352585565
"OY1",1.11520385742188,1.38508033752441,1.26277160644531,0.718650817871094,0.0944061279296875,0.0743179321289062
"P",1.94234441941784,0.550267824562647,0.731185872067687,0.658169859199114,0.529548809092532,0.346025374627882
"R",1.26063624848711,1.18551710818676,0.75467349113302,0.990466462804916,0.529884378960792,0.185846122021371
"S",1.88235322114463,1.01845134307291,0.517437625154157,0.617298589688595,0.385759130816593,0.244974654968654
"sil",0.104110993029222,0.0194844864468718,0.00464394803722529,0.0189510468761297,0.0438979715748406,0.0191100362544408
"sp",1.23569358640133,0.835489199396878,0.404287071187097,0.452451168382287,0.410917768492037,0.213302246661316
"T",0.651196071079799,0.711393201918829,0.321258163452148,0.347491527739025,0.347058868408203,0.0957618895031157
"TH",1.87431474165483,1.9460107051965,0.815118963068182,0.126044071081913,0.0971270474520597,0.0272048025420218
"UW1",1.05120706558228,0.632862567901611,0.167995929718018,0.185650944709778,0.340453147888184,0.0122542977333069
"V",0.993564923604329,0.563974168565538,0.328627003563775,0.248954561021593,0.108633677164714,0.119087960984972
"W",0.631604149228051,0.621254012698219,0.112566266741071,0.207514929392981,0.0967051188151042,0.0747941032288566
"Y",0.362403282752404,0.160315880408654,-0.0147892878605769,0.512793907752404,0.0844022310697115,0.123849722055288
"Z",0.894480429197613,0.870871975547389,0.409253632394891,0.315618806136282,0.153834935238487,0.0716321744416889
