"","Delta","Theta","Alpha","Beta","LowGamma","HighGamma"
"AA1",0.807640211922782,0.574168613978795,0.856995173863002,0.919764927455357,0.0836618968418666,0.0825576782226562
"AE1",1.27067614616232,0.926140805508228,1.97301726645612,1.81848274393285,0.319184323574634,0.11263985329486
"AH0",0.931142771019126,1.26079400980248,1.26489315392836,0.966383928023044,0.270894812338007,0.0282238534411544
"AO1",0.729851640973772,2.59779052734375,1.04517778669085,0.829956272670201,0.646904836382185,0.098257337297712
"AW1",1.16634114583333,0.71727611400463,0.157184742115162,0.173329953794126,0.0847079665572555,0.0607850816514757
"AY1",0.399222479926215,1.2941640218099,1.34707429673937,0.851496696472168,0.339090612199571,0.0461490948994954
"B",0.853029604311343,0.980518482349537,0.913030553747107,1.00003560384115,0.258267579255281,0.165970978913484
"CH",0.495347340901693,1.00265430268787,1.39130183628627,0.848661331903367,0.261888958158947,0.2518553960891
"D",0.854928910732269,0.792248904705048,0.971941210329533,0.841918393969536,0.313735827803612,0.0441443510353565
"EH1",1.25461565215012,0.758362293243408,0.637552634052847,0.360787928789511,0.0488453569083378,0.0708094629748114
"ER0",0.899552778764205,3.16443079168146,1.52358453924006,1.64117986505682,1.15241252292286,0.141670920632102
"ER1",1.31231486002604,0.67716064453125,2.09971923828125,2.0907527923584,0.0668701171875,-0.122330729166667
"EY1",0.584939436479048,0.713734019886364,1.14715238050981,1.11285187981345,0.276864832097834,0.363534753972834
"F",1.06747581845238,0.464554922921317,0.860656193324498,0.807072412400019,0.0657988048735119,-0.0255411238897414
"G",0.544512662020597,2.26844556403883,1.07639081550367,0.773975719105114,0.27464433149858,0.223167881821141
"HH",0.626887739972865,0.990344189582987,1.11082620823637,0.696429394661112,0.134406881129488,0.0736559604076629
"IH0",0.521441650390625,-0.0305857340494792,-0.00494028727213542,0.139619954427083,0.04915771484375,-0.0256065368652344
"IH1",0.875926610043174,0.871904061969958,0.81872010481985,0.964461798416941,0.253378938373766,0.0776918511641653
"IY0",0.926006819072523,1.2347845780222,1.83604631925884,1.62487301073576,0.340232949507864,0.0854934642189427
"IY1",1.01404613212303,1.34840766059028,1.10241066261574,0.835200557002315,0.349460404007523,0.0517526979799624
"JH",0.182338169642857,0.994345528738839,1.20932115827288,1.18131365094866,0.061187744140625,0.0517926897321429
"K",1.09519307753619,1.17477607727051,1.21816388298483,0.715393178603228,0.210788165821749,0.105648545657887
"L",0.86515787203018,0.811251496615475,1.20392995337917,1.19328629480649,0.338634072917781,0.117977625703158
"M",0.32968460886102,0.52224410207648,0.680475335372122,0.599425867984169,0.510378385844984,0.0949498226768092
"N",0.848577711317274,2.83497525224782,1.32645456718676,1.15042498497048,0.590772250686029,0.0974817823882055
"NG",0.822312298943015,0.0380428538602941,0.252418069278493,0.500897575827206,0.132955214556526,0.0242919921875
"OW0",1.05360739571708,2.19072614397321,-0.0851985386439732,-0.0808824811662946,-0.1509872845241,-0.0402777535574777
"OW1",0.679269699823289,0.241085960751488,0.576774415515718,0.768243698846726,0.25479793548584,0.0464136032831101
"OY1",0.895294189453125,0.472064971923828,0.143096923828125,0.112741827964783,1.38734436035156,0.0798710584640503
"P",0.870591686617944,0.896435624809675,1.60861640848139,1.43374436901462,0.397182849145705,0.149023589267526
"R",0.958650411443507,0.84085750579834,0.986880464756742,0.906117104469462,0.251692964675579,0.0957378428033058
"S",1.04509022079896,1.97131775472766,1.24590947249225,1.083175641354,0.246730644012166,0.076619994974582
"sil",0.161970752759041,0.30676565738195,0.411878771024712,0.351620950156527,0.179293035693435,0.062073584278254
"sp",0.778367058913595,1.08834296132362,0.878657206956921,0.738108740770425,0.222249073361464,0.0584374019857469
"T",1.1741821652367,2.06834685915992,1.05435602097284,0.773143368675595,0.32483651297433,0.0892003649757022
"TH",1.18280399206913,1.21947409889915,1.2694961085464,0.900895552201705,0.326102632464785,0.131070686109138
"UW1",0.32731819152832,0.656442642211914,1.5262393951416,1.79890823364258,0.366235733032227,0.132656097412109
"V",0.914293501112196,0.282054397794935,0.546581904093424,0.251043796539307,-0.0588855743408203,0.133214261796739
"W",0.733221871512277,2.98463427831256,1.39639609200614,1.00005764431424,0.496307539561438,0.0488051857267107
"Y",1.3568854698768,0.747854379507212,0.975867638221154,1.29397348257212,1.05947875976562,0.00692514272836538
"Z",0.597360269646896,0.73531349583676,0.602644940426475,0.480401601289448,0.0119611438951994,-0.0289136284276059
