"","Delta","Theta","Alpha","Beta","LowGamma","HighGamma"
"AA1",0.489116668701172,0.683811187744141,0.285183497837612,0.267279761178153,0.114875248500279,-0.115501413387912
"AE1",1.1603406540891,0.56537774268617,0.505908519663709,0.221234585376496,-0.0262327802942154,-0.0288985840817715
"AH0",0.69256011794948,0.616577580290021,0.198022830411323,0.145837124038792,0.0633635370986267,-0.113201021398388
"AO1",0.709864807128906,0.857437351771763,0.31864013671875,-0.0578050885881696,-0.0845098223005022,-0.0940442221505301
"AW1",0.497890896267361,1.3399579083478,0.295388398347078,0.0522540057146991,-0.0149448536060475,-0.253837302879051
"AY1",0.761383904351128,0.710052490234375,0.373335944281684,0.158100128173828,0.205309602949354,0.0356890360514323
"B",0.368176495587384,0.43692468713831,0.159228572139034,-0.0582750108506944,0.00878454137731481,-0.0874775074146412
"CH",1.80140704200381,1.08053352719262,0.0267119634719122,-0.0199058169410342,0.0694532621474493,0.00878597441173735
"D",0.572783395648003,0.592069149017334,0.209266185760498,0.0110915005207062,-0.0142877399921417,-0.111384004354477
"EH1",0.776332109823994,0.671602972622575,0.104853136786099,0.0433685478122755,0.0630515964551904,0.0279214135531721
"ER0",0.524232344193892,2.16005793484775,0.760495272549716,0.35219296542081,0.0752750743519176,-0.104425256902521
"ER1",1.53899739583333,0.625266520182292,0.454468790690104,-0.0239542643229167,0.308103434244792,0.111098225911458
"EY1",0.388233531605114,0.465144764293324,0.120581020008434,0.0464411648837003,-0.0192638744007457,-0.0968048789284446
"F",0.625301906040737,0.296854155404227,0.128133387792678,-0.0880562918526786,0.00616432371593657,-0.0545461745489211
"G",1.5115800337358,3.36466979980469,0.979002056699811,0.248446377840909,0.150232488458807,-0.190120379130046
"HH",1.39051526658078,0.614407478494847,0.179042734998338,0.0250372988112429,0.0662927830472906,-0.201386390848363
"IH0",0.116105143229167,0.705417887369792,0.397296142578125,-0.0179097493489583,-0.120192464192708,-0.11318359375
"IH1",0.439769985801295,0.44754349557977,0.105885314941406,0.0217000860916941,0.0548325538635254,-0.168320826480263
"IY0",1.04877030222039,0.241874487776505,0.194815987034848,0.0993183788500334,-0.000211213764391447,-0.0735993887248792
"IY1",0.911780011212384,0.94251050595884,0.36090491965965,0.0325441431116175,0.0730365329318576,0.00867657838044343
"JH",2.27084568568638,2.37183489118304,0.566458565848214,0.0137416294642857,-0.0721827915736607,-0.151432582310268
"K",0.124573595383588,0.354065239429474,0.137669282801011,0.214657727409812,0.0610792496625115,-0.104016107671401
"L",0.404744605495505,0.730490370972516,0.223006000257518,0.0420176884899401,-0.0312110430573764,-0.0939369462940791
"M",0.312750565378289,0.487540395636308,0.348858682732833,0.217425898501748,-0.050039994089227,-0.109078658254523
"N",0.708485876670991,1.44195250308875,0.579630996241714,0.155282531121765,0.102985940798364,-0.0879029649676699
"NG",-0.00128532858455882,0.41471144732307,0.226311178768382,0.0413656795726103,-0.0115194881663603,-0.145809397977941
"OW0",1.21296037946429,0.21873038155692,0.02630615234375,0.118105207170759,0.309480939592634,-0.0474766322544643
"OW1",0.427494594029018,0.612284342447917,0.150954110281808,-0.129138764880952,0.0592521485828218,-0.148122151692708
"OY1",-0.0767993927001953,0.546548575162888,0.0558567047119141,0.580795288085938,0.0101242065429688,0.0837478637695312
"P",0.650617455923429,0.53668938913653,0.144183866439327,0.0602603215043263,-0.0106654013356855,-0.0422166803831695
"R",0.773215395338992,1.00435360441817,0.349438444096991,-0.000503154511147357,0.00096749244852269,-0.0901717429465436
"S",0.668830764627902,0.82370686753888,0.186716977680955,-0.0387187850809543,-0.0119994065471899,-0.108372928940247
"sil",0.288149104097882,0.177015325286358,0.0527334249070786,0.0256265903235505,-0.0118726847509458,-0.036267800648325
"sp",0.66600542518714,0.754375831593089,0.233506395240369,0.0515886608282043,0.022215845247195,-0.0835206999799213
"T",0.766044616699219,0.483244160243443,0.208099819365002,0.149500992184594,0.0608202026003883,-0.0192983139128912
"TH",1.69376720081676,0.727169152462121,0.275497898910985,-0.0457511670661695,-0.141392100941051,-0.0959278453480114
"UW1",0.411545187234879,-0.0249128341674805,-0.0707850456237793,-0.0146331787109375,-0.015017032623291,-0.201103627681732
"V",0.78023550245497,0.505650838216146,0.135967360602485,0.0223611195882161,0.0615918636322021,-0.0445719824896918
"W",0.8980712890625,0.7333648469713,0.398409404451885,0.148041498093378,0.00990958440871466,-0.12007322765532
"Y",0.224888728215144,0.0444993239182692,0.206599308894231,0.424361008864183,-0.0876277043269231,-0.0544938307542067
"Z",0.767493197792455,0.423577479312294,0.0638395610608553,-0.0199706127769069,0.0658262654354698,-0.0452715020430715
