"","Delta","Theta","Alpha","Beta","LowGamma","HighGamma"
"AA1",0.754121780395508,0.505820989608765,0.202977861676897,0.210912500108991,0.802430152893066,0.147734471729824
"AE1",0.407073325299202,0.291036402925532,0.200313162296376,0.140584905096825,0.454738535779588,0.0705832623420878
"AH0",1.02464037721262,0.194834835124466,0.348607021307795,0.518075691079194,0.639853999299823,0.196590495559404
"AO1",0.536068725585938,0.191619655064174,0.152300589425223,0.388560267857143,0.489090401785714,0.0630603245326451
"AW1",0.756886800130208,1.40998444733796,0.645003000895182,0.806452998408565,1.36136881510417,2.01812122486256
"AY1",0.153426541222466,0.287581549750434,0.00833977593315972,0.0799658033582899,0.170262866550022,0.0712297227647569
"B",0.660511158130787,0.0707194010416667,0.0949028862847222,0.222085458260995,0.236661557798032,0.0650555645978009
"CH",1.36506761823382,1.03868466331845,0.313619341169085,0.4801207951137,0.850963774181548,0.107433500744048
"D",0.722736269235611,0.357413113117218,0.230557017028332,0.341778635978699,0.696399420499802,0.229426980018616
"EH1",0.79054323832194,1.0681450503996,0.397046582452182,0.538215900289601,0.948541400076329,0.483767147721915
"ER0",1.05019049210982,0.781939940019087,0.494741960005327,0.982234608043324,1.250732421875,0.43400764465332
"ER1",1.6816650390625,0.975626627604167,0.221443684895833,-0.131070963541667,-0.120714314778646,-0.216059366861979
"EY1",0.470016999678178,0.235581484707919,0.471724770285866,0.628882321444425,0.911123795942827,0.395735653963956
"F",1.06156403677804,0.995729537237258,0.299390429542178,0.176151275634766,0.729092007591611,0.147888138180687
"G",0.844228108723958,0.124376701586174,0.131204778497869,0.370427911931818,0.527113596598307,0.0209098584724195
"HH",0.0976171290620844,0.100771640209441,0.250988737065741,0.361846274517952,0.711568467160489,0.428154316354305
"IH0",-0.0677591959635417,0.0540852864583333,-0.13134765625,-0.198726399739583,0.340825398763021,0.10916748046875
"IH1",0.542813592208059,0.176371604517887,0.239362535978618,0.249813200298109,0.4279052734375,0.0370831539756373
"IY0",0.96508096393786,0.310835988898026,0.445179387142784,0.615745945980674,1.22515517786929,0.653395602577611
"IY1",0.515967277244285,0.161631435818142,0.255234838415075,0.193430978280527,0.421068883825231,-0.0954795837402344
"JH",2.55561174665179,0.08441162109375,0.849263327462333,1.63450622558594,1.41034807477679,0.186786379132952
"K",1.09343674603631,0.725550932042739,0.360022600959329,0.292109152849983,0.415592866785386,0.181995952830595
"L",1.05880049156816,0.693571848412083,0.475610471751592,0.751853577078205,1.45296671619154,0.475100249460299
"M",1.08792596114309,0.333864713969984,0.268376400596217,0.304901123046875,0.175205833033512,0.0254046791478207
"N",0.409917542428681,0.336082352532281,0.2920431271948,0.445780152022237,0.688481822158351,0.165283395786478
"NG",0.399044261259191,1.23996689740349,0.280022116268382,0.0647188074448529,0.152110380284926,-0.0288050034466912
"OW0",0.00971330915178571,-0.323353358677455,0.126909528459821,0.723969050816127,2.24454607282366,1.12911551339286
"OW1",0.758299691336496,0.260397411528088,-0.104443504696801,-0.00155167352585565,0.396068754650298,0.0271090552920387
"OY1",2.20310211181641,2.035888671875,0.664291381835938,1.14875793457031,1.4385986328125,0.0763397216796875
"P",0.650186682260165,0.378694308701382,0.272672837780368,0.180504911689348,0.237652460734049,0.0959930419921875
"R",0.865163052335699,0.495650839298329,0.348826956241689,0.388599851029985,0.567443117182306,0.161624462046522
"S",0.650145789173162,0.228488333871431,0.180432328553957,0.415431330137164,0.800871768844462,0.171268485416876
"sil",0.0518663446279043,0.00716614211577714,0.0551742921571363,0.0860252526185032,0.0760274805736132,-0.0156919480393373
"sp",0.676807048835809,0.363352184814104,0.228234876378923,0.396195647883654,0.787345706137465,0.221219332944682
"T",0.712862752732776,0.400777689615885,0.142811747959682,0.248047419956752,0.728196643647693,0.274993101755778
"TH",0.443211410984849,-0.0193883722478693,0.167362097537879,0.297969008937026,0.60964179761482,0.0879958181670218
"UW1",1.09050965309143,0.756721973419189,0.330748319625854,0.256571769714355,0.633896827697754,0.0216617584228516
"V",1.12113210890028,0.558918635050456,0.405050913492839,0.698239326477051,1.44797282748752,0.653379016452365
"W",0.624061463371156,0.291140026516385,0.190457298642113,0.465113806346106,0.51294429718502,0.25324455140129
"Y",0.788123497596154,0.35448983999399,0.200298602764423,0.450444148137019,0.2066650390625,-0.0315692608173077
"Z",0.931015335886102,0.718506742778577,0.474423599243164,0.664788306386847,1.13752730520148,0.46143365157278
