"","Delta","Theta","Alpha","Beta","LowGamma","HighGamma"
"AA1",0.616869858333043,0.464255741664342,0.246989522661482,0.514833722795759,0.711467061723982,0.265623705727713
"AE1",0.122487169630984,-0.0907690169963431,-0.180405637051197,-0.00985490514876995,-0.024198978505236,-0.0170502358294548
"AH0",0.44728563416679,0.606514912731243,0.215767266615382,0.542386300908694,0.827276361813335,0.0598520722779088
"AO1",0.461350686209542,0.313142830984933,0.439932904924665,1.4537593296596,1.37788483755929,0.199839203698294
"AW1",1.16904025607639,0.206186930338542,0.316353974518953,0.665485523365162,0.88089441370081,0.377962465639468
"AY1",0.303720474243164,0.180071512858073,0.0340492460462782,0.589268896314833,1.2257391611735,0.12088139851888
"B",0.444877341941551,0.510608814380787,0.299986203511556,0.671768753616898,0.337879887333623,0.21602291531033
"CH",0.830409458705357,0.411414736793155,0.151387532552083,0.401792253766741,0.206333705357143,0.185368129185268
"D",0.520467326045036,0.310058832168579,0.402544617652893,1.22415697574615,1.171635389328,0.205194503068924
"EH1",0.606609497947254,0.28644009294181,0.409013419315733,0.898239486518948,0.833881597409303,0.147412091836162
"ER0",0.145669763738459,0.308990478515625,0.138505415482955,0.588378559459339,0.764633178710938,0.216884613037109
"ER1",0.256797281901042,-0.0948038736979167,-0.0267578125,0.124855550130208,0.305611165364583,-0.02994384765625
"EY1",0.863981940529563,0.821289756081321,0.197973424738104,0.734064275568182,0.498899980024858,0.143259221857244
"F",0.151546535037813,0.565602620442708,0.22868469783238,0.427285603114537,0.799738202776228,0.13596434820266
"G",0.20680098100142,1.11105994022254,0.69723603219697,1.17964773467093,1.2265967166785,0.203516179865057
"HH",0.371536579537899,0.312160410779588,0.330166857293312,0.681048129467254,0.877410888671875,0.120536317216589
"IH0",0.0839518229166667,-0.260302734375,-0.350594075520833,-0.250241088867187,0.693701171875,-0.177652994791667
"IH1",0.197096423098916,0.362895282946135,0.101963404605263,0.478566059313322,0.455910331324527,0.046856689453125
"IY0",0.0637997075131065,0.223574989720395,0.22940384714227,0.466086939761513,0.612946761281867,0.0806292483681127
"IY1",0.244905217488607,0.365275065104167,0.0260582535355179,0.447646981698495,0.287224338672779,0.013690439860026
"JH",0.700901576450893,-0.0891767229352679,0.0728133065359933,0.285470417567662,0.103829520089286,-0.0388619559151786
"K",0.158317622016458,0.39699509564568,0.304450988769531,0.483211236841538,0.901470184326172,0.108997681561638
"L",0.163086669085777,0.342822349234803,0.276456075171902,1.14738683831202,1.26530299774588,0.168681876300132
"M",0.235773186934622,0.531580071700247,0.237639376991674,0.662115799753289,0.526999774732088,0.157384370502673
"N",0.142593114062993,0.596474276648627,0.168661016406435,0.61293137675584,0.8376420916933,0.150351201645052
"NG",0.179770076976103,0.824958352481618,0.14375394933364,0.199929630055147,1.1147855870864,0.0580446579877068
"OW0",0.853145054408482,0.911167689732143,1.15640694754464,3.060791015625,3.20294625418527,0.381375994001116
"OW1",-0.00599770318894159,0.391647066388811,0.288257962181455,1.37258475167411,1.85298556373233,0.0633730207170759
"OY1",0.155624389648438,1.75265502929688,1.4029541015625,1.39836120605469,0.91424560546875,0.483760833740234
"P",0.491324147870464,0.23753898374496,0.0204034620715726,0.305863739341818,0.650582918556788,0.0341687766454553
"R",0.599322501649248,0.550267118088743,0.305200278759003,0.878680936833645,0.775937019510472,0.124331007612512
"S",0.294024993326062,0.335465656819745,0.284911538952979,0.805008077175818,0.921234041730934,0.110491654583227
"sil",0.0305129650324711,0.0261443385238811,-0.00776476230744129,0.0495017994626909,0.0920042068149911,-0.0385668750996242
"sp",0.37880792638263,0.399808138736839,0.195118881857958,0.520117092541871,0.610222527227006,0.123517662670479
"T",0.360735357375372,0.340285940397353,0.252023047492618,0.736769212995257,0.808770025344122,0.0727485611325219
"TH",0.206079656427557,0.240648674242424,-0.0394023548473011,0.0543666030421402,0.472154906301787,0.0171143502900095
"UW1",0.218818664550781,0.720626831054688,0.391660451889038,0.569391250610352,1.73453569412231,0.037290096282959
"V",0.362910376654731,0.544806162516276,0.444245232476128,0.586394098069933,0.384949578179253,0.119160460101234
"W",0.538251119946677,0.48715325007363,0.19556148468502,0.981411404079861,1.22611103360615,0.16565183609251
"Y",0.0284048227163462,1.36422494741587,0.506554236778846,0.931293194110577,0.667834942157452,0.139855018028846
"Z",0.413036155700684,0.858413430264122,0.458045397306743,0.798563103926809,0.901610966732627,0.13437469883969
